,y_train
0,39.3
1,39.83
2,39.58
3,39.88
4,37.89
5,37.29
6,37.4
7,37.61
8,36.66
9,39.01
10,39.29
11,38.63
12,38.27
13,37.71
14,37.71
15,38.48
16,37.88
17,37.0
18,38.26
19,38.59
20,37.71
21,37.58
22,37.86
23,37.74
24,38.82
25,38.85
26,39.2
27,39.64
28,39.22
29,38.96
30,39.25
31,39.79
32,38.45
33,38.05
34,36.59
35,36.26
36,36.41
37,37.94
38,37.49
39,37.47
40,37.2
41,36.8
42,36.57
43,36.49
44,35.82
45,35.95
46,34.91
47,34.91
48,35.87
49,35.21
50,35.4
51,36.23
52,39.46
53,39.4
54,39.45
55,38.42
56,39.07
57,40.07
58,39.8
59,39.65
60,39.75
61,39.41
62,40.92
63,40.89
64,40.83
65,41.26
66,42.1
67,41.82
68,42.479
69,41.64
70,42.6
71,41.32
72,41.46
73,41.87
74,41.36
75,41.6
76,42.8
77,43.53
78,43.08
79,42.56
80,41.32
81,41.79
82,43.17
83,44.32
84,45.47
85,43.75
86,43.41
87,43.17
88,44.02
89,43.69
90,43.56
91,43.85
92,42.58
93,42.64
94,43.56
95,43.94
96,44.73
97,44.6
98,43.75
99,44.59
100,43.97
101,44.64
102,44.04
103,45.1
104,45.1
105,45.1
106,45.79
107,46.73
108,47.06
109,46.05
110,45.95
111,45.58
112,44.59
113,44.65
114,43.91
115,42.86
116,43.64
117,44.0
118,44.12
119,43.85
120,44.41
121,45.01
122,45.48
123,46.38
124,45.6
125,44.78
126,44.21
127,45.0
128,43.87
129,44.24
130,43.96
131,43.67
132,43.52
133,43.78
134,43.35
135,42.21
136,42.4
137,41.12
138,40.6
139,40.43
140,39.77
141,39.91
142,40.76
143,41.28
144,41.95
145,44.01
146,43.15
147,43.32
148,43.33
149,42.66
150,42.63
151,42.85
152,43.12
153,43.11
154,43.85
155,45.28
156,44.5
157,45.31
158,45.31
159,46.28
160,45.9
161,45.76
162,45.91
163,46.15
164,46.3
165,45.25
166,45.55
167,45.76
168,46.94
169,46.79
170,47.19
171,47.84
172,48.87
173,49.52
174,49.63
175,49.1
176,48.0
177,48.07
178,47.97
179,50.22
180,49.72
181,49.02
182,49.13
183,48.17
184,47.97
185,48.64
186,49.83
187,49.5
188,50.18
189,50.54
190,50.9
191,51.34
192,51.01
193,50.03
194,50.26
195,52.02
196,51.16
197,51.39
198,51.19
199,52.85
200,53.45
201,53.36
202,54.49
203,53.49
204,53.88
205,54.31
206,55.4
207,55.38
208,56.23
209,56.27
210,57.53
211,57.24
212,58.07
213,58.29
214,57.95
215,57.4
216,57.65
217,58.24
218,58.99
219,58.49
220,58.34
221,58.48
222,59.31
223,57.68
224,59.75
225,59.85
226,60.94
227,61.04
228,60.87
229,60.5
230,61.48
231,62.44
232,62.85
233,62.47
234,60.5
235,60.05
236,60.9
237,61.39
238,63.08
239,63.96
240,62.8
241,60.0
242,60.43
243,60.97
244,60.5
245,61.89
246,62.68
247,62.25
248,63.85
249,63.37
250,63.2
251,63.2
252,62.22
253,60.18
254,60.26
255,59.01
256,58.865
257,58.93
258,58.48
259,59.21
260,58.69
261,58.05
262,58.35
263,57.51
264,58.09
265,57.49
266,55.66
267,56.31
268,56.34
269,56.54
270,56.2
271,57.0
272,59.85
273,61.8
274,63.02
275,63.85
276,63.77
277,63.96
278,62.76
279,62.97
280,63.84
281,63.5
282,64.52
283,64.6
284,63.6
285,62.55
286,61.57
287,61.48
288,61.47
289,61.54
290,62.06
291,61.96
292,62.52
293,63.1
294,63.95
295,65.24
296,65.01
297,64.76
298,65.39
299,64.8
300,65.55
301,64.65
302,63.67
303,65.3
304,67.58
305,66.85
306,66.53
307,67.26
308,66.94
309,66.84
310,66.64
311,67.85
312,67.82
313,66.84
314,66.75
315,67.12
316,68.27
317,68.49
318,67.44
319,66.89
320,66.25
321,65.09
322,62.75
323,55.98
324,55.83
325,59.3
326,58.39
327,59.3
328,60.75
329,59.75
330,58.97
331,58.31
332,59.05
333,59.74
334,57.01
335,57.6
336,57.55
337,57.53
338,57.84
339,58.28
340,57.5
341,58.08
342,58.06
343,58.98
344,59.6
345,59.9
346,61.1
347,62.0
348,62.0
349,31.46
350,32.24
351,32.96
352,33.1
353,33.09
354,33.03
355,33.23
356,32.9
357,32.44
358,32.51
359,32.46
360,32.26
361,32.59
362,31.1
363,31.84
364,32.39
365,32.03
366,31.08
367,31.11
368,31.04
369,30.9
370,30.74
371,30.0
372,29.33
373,29.05
374,29.02
375,29.25
376,28.74
377,28.34
378,27.8
379,26.69
380,27.66
381,27.84
382,28.05
383,28.62
384,29.23
385,29.25
386,28.76
387,28.37
388,29.17
389,29.32
390,29.6
391,29.8
392,29.53
393,29.7
394,29.7
395,30.2
396,29.53
397,28.51
398,28.4
399,27.88
400,26.89
401,27.22
402,26.95
403,26.71
404,25.93
405,26.57
406,26.88
407,26.87
408,26.18
409,26.83
410,26.55
411,26.2
412,26.19
413,26.98
414,27.92
415,27.48
416,27.27
417,27.24
418,27.22
419,26.92
420,26.87
421,26.84
422,27.49
423,28.0
424,27.6
425,27.6
426,26.97
427,27.0
428,27.39
429,27.81
430,29.27
431,28.69
432,27.77
433,27.69
434,27.78
435,28.22
436,28.21
437,28.53
438,28.88
439,29.55
440,29.55
441,29.81
442,29.76
443,29.28
444,29.02
445,29.04
446,29.01
447,28.47
448,28.2
449,28.61
450,29.94
451,30.37
452,30.32
453,30.9
454,30.79
455,30.94
456,32.19
457,32.21
458,32.3
459,32.2
460,32.31
461,31.83
462,32.8
463,32.8
464,32.61
465,32.65
466,32.26
467,32.27
468,32.49
469,32.67
470,32.91
471,33.03
472,32.8
473,33.25
474,34.15
475,33.6
476,33.28
477,33.5
478,33.71
479,33.75
480,33.19
481,32.33
482,32.75
483,33.93
484,34.6
485,35.99
486,36.83
487,36.67
488,36.33
489,35.69
490,35.22
491,34.58
492,34.89
493,36.98
494,38.78
495,38.23
496,37.78
497,37.45
498,37.7
499,37.45
500,36.99
501,36.95
502,36.76
503,37.31
